,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
1031,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,21º Fiscalia Provincial En Lo Penal De Lima,"00506010129-2003-
0005340000","Mar 23, 2006",CON DICTAMEN,DAÑOS
1032,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,Huancavelica,38º Fiscalia Provincial En Lo Penal De Lima,"00506012802-2005-
0000050000","Mar 14, 2006",CON DICTAMEN,HOMICIDIO
1033,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Provincial Mixta De Tumbes,"03506090602-2001-
0006910000","Jan 16, 2006",CON DICTAMEN,PECULADO (APROPOUTILIZACDECAUDALES)
1034,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,03º Fiscalia Provincial De Familia Y Civil De Huancayo,"02206010603-2005-
0009110000","Jan 5, 2006",CON DICTAMEN,ALIMENTOS
1035,"VIVANCO REYES, MIGUEL ANGEL",Fuerza Popular,La Libertad,Fiscalia Provincial Mixta Del Modulo Basico De Justicia De La Esperanza,"02306010600-2005-
0006970000","Jan 4, 2006",CON DEMANDA,MALTRATO FISICO
1036,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,01º Fiscalia Provincial De Familia De Arequipa,"01506010701-2005-
0016750000","Dec 30, 2005",CON DEMANDA,MALTRATO FISICO
1037,"MERINO LOPEZ, OMAR",APP,Apurímac,01º Fiscalia Provincial Penal De Abancay,"01406010101-2005-
0005010000","Dec 7, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (ABANDONO DE SERVICIO)
1038,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,1º Fiscalia Provincial Mixta De Tumbes,"03506090601-2005-
0005240000","Nov 21, 2005",ARCHIVO DEFINITIVO,FALSEDAD IDEOLOGICA
1039,"MERINO LOPEZ, OMAR",APP,Apurímac,01º Fiscalia Provincial Penal De Abancay,"01406010101-2005-
0004740000","Nov 21, 2005",ARCHIVO DEFINITIVO,CONDUCTAS QUE ATENTAN CONTRA LA SEGURIDAD PUBLICA
1040,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,1º Fiscalia Provincial Mixta De Tumbes,"03506090601-2004-
0000300000","Oct 25, 2005",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
